 0.68  0.02  612   56  
 0.65  0.02  421   47  
 0.51  0.02  408   52  
 0.46  0.02  487   48  
 0.61  0.02  266   73  
 0.56  0.02  254   45  
 0.52  0.02  525   57  
 0.49  0.02  300   59  
 0.58  0.02  340   61  
 0.48  0.02  328   54  
 0.84  0.02  495   44  
 0.86  0.02  556   50  
 0.78  0.02  597   57  
 0.10  0.02  216   57   
 0.72  0.02  465   46  
 0.42  0.02  262   32  
 0.55  0.02  477   45  
 0.78  0.02  387   73  
 0.29  0.02  143   46   
 0.32  0.02  133   43  
 0.05  0.02   92   34   
 0.35  0.02  117   42  
 0.70  0.03  315   46  
 0.75  0.02  271   55  
 0.58  0.03  136   26  
 0.33  0.03  311   42  
 0.14  0.02  175   67   
 0.27  0.02  198   34  
 0.62  0.02  221   50  
 0.35  0.02  278   48  
 0.54  0.02  215   49  
 0.09  0.02  160   42   
 0.28  0.02  279   72  
 0.34  0.03   97   33  
 0.39  0.02  135   47  
 0.56  0.02  175   44   
 0.06  0.02   83   48   
 0.20  0.02  222   35  
 0.45  0.02  389   55  
 0.62  0.02  576   65  
 0.58  0.02  420   72  
 0.56  0.02  566   87  
 0.24  0.02  283   43   
 0.42  0.02  247   42   
 0.49  0.02  335   77  
 0.49  0.02  197   53  
 0.53  0.02  121   41  
 0.34  0.02   96   28   
 0.46  0.02  180   62  
 0.44  0.02  253   36  
 0.34  0.02  241   48  
 0.26  0.02  267   39   
 0.54  0.02  485   51  
 1.12  0.03  527   47  
 0.35  0.02  193   42  
 0.15  0.02   86   40   
 0.32  0.02  249   50  
 1.27  0.02  790   53  
 0.28  0.02  186   43   
 0.62  0.02  431   54  
 0.66  0.02  547   40  
 0.32  0.03  231   38  
 0.72  0.02  399   52  
 0.74  0.02  415   60  
 0.65  0.03  316   38  
 1.20  0.02  523   43  
 0.58  0.02  253   47  
 0.53  0.02  326   45  
 0.49  0.02  271   41  
 0.45  0.02  177   44   
 0.76  0.02  449   77  
 1.10  0.02  370   68  
 0.84  0.02  419   62  
 0.51  0.02  233   34  
 0.54  0.03  235   49  
 0.60  0.03  230   36  
 0.80  0.02  299   32  
 0.38  0.02  208   37  
 0.35  0.02  250   34  
 0.57  0.02  291   37  
 0.25  0.02   99   29 
 0.61  0.02  483   53  
 0.12  0.02  133   43 
 0.34  0.02  148   31   
 0.59  0.02  539   77  
 0.70  0.02  487   57  
 0.82  0.02  569   74  
 0.48  0.02  203   44  
 0.21  0.02  105   39   
 0.45  0.02  382   49  
