  473  01:38:51.8  -21:16:31  0.13100  3.60000E-02
  476  01:40:39.8  43:17:52  0.12700  -3.70000E-02
  483  01:41:47.2  42:36:49  0.80900  -0.15400
  484  01:41:18.4  25:44:45  0.11800  -4.00000E-02
  486  01:39:47.4  -56:11:53  0.31000  -2.00000E-02
  487  01:39:47.8  -56:11:41  0.27900  2.00000E-02
  495  01:43:16.5  45:19:20  0.14600  -1.70000E-02
  506  01:42:29.3  -53:44:26  0.17100  -9.30000E-02
  511  01:47:44.8  63:51:08  0.58200  -0.25500
  512  01:37:55.6  -82:58:30  0.11900  0.12000
  514  01:45:38.8  -25:03:09  0.16200  -5.70000E-02
  520  01:46:06.3  -53:31:19  0.12700  5.60000E-02
  521  01:48:38.9  37:57:10  0.11200  -2.90000E-02
  532  01:49:19.5  -31:04:22  0.10100  -2.60000E-02
  537  01:50:20.2  -47:48:59  0.12400  5.10000E-02
  554  01:53:23.2  -38:35:41  0.13100  2.70000E-02
  557  01:56:09.3  37:15:06  0.18200  6.00000E-03
  560  01:55:53.8  01:50:59  0.15800  0.18400
  566  01:55:57.5  -51:36:32  0.68100  0.29200
  573  01:57:00.1  -51:45:58  0.35900  0.24800
  574  01:57:10.0  -47:23:06  0.10300  1.60000E-02
  577  01:59:35.7  21:03:30  0.13900  -2.20000E-02
  581  02:05:07.4  77:16:53  0.12500  -5.60000E-02
  582  02:00:09.2  03:05:50  0.23100  -0.25100
  585  02:00:00.3  -21:04:40  0.13500  -2.40000E-02
  591  01:58:46.2  -61:34:11  0.26400  2.70000E-02
  605  02:03:39.3  25:56:08  0.13400  2.20000E-02
  617  02:07:10.4  23:27:45  0.19000  -0.14800
  620  02:08:29.3  37:51:33  0.15700  -4.40000E-02
  622  02:09:32.6  34:59:14  0.15000  -4.00000E-02
  624  02:09:23.1  17:13:28  0.14200  -0.18100
  637  02:10:25.6  -50:49:28  2.1190  0.64100
  645  02:13:36.3  51:03:57  0.34600  -0.17100
  646  02:12:48.1  21:12:39  0.16100  3.00000E-03
  650  02:12:47.5  -02:23:37  0.37000  -6.90000E-02
  656  02:15:46.0  25:46:59  0.17600  -6.30000E-02
  660  02:17:03.2  34:13:27  1.1540  -0.24500
  672  02:18:01.4  01:45:28  0.36800  0.36900
  692  02:22:01.4  -10:46:40  0.14000  -8.50000E-02
  695  02:22:32.6  -23:48:59  0.20000  -6.20000E-02
  697  02:22:57.8  -18:21:16  0.14900  -0.10900
  706  02:24:33.8  -40:50:26  0.22200  0.11100
  753  02:36:04.9  06:53:13  1.8110  1.4510
  756  02:36:57.2  38:43:58  0.14500  -0.19400
  763  02:36:37.9  12:26:51  0.28600  -8.90000E-02
  764  02:36:57.7  24:38:54  0.14300  0.00000E+00
  765  02:37:00.5  24:38:51  0.13600  -6.00000E-03
  776  02:31:40.5  -79:06:34  0.12100  -5.60000E-02
  777  02:38:18.7  -30:11:39  0.10000  -7.70000E-02
  778  02:37:24.4  -52:32:35  0.10000  -1.90000E-02
  780  02:38:24.8  -37:59:26  0.11100  -6.30000E-02
  781  02:39:33.8  -11:52:20  0.14600  -0.23600
  789  02:39:48.0  -42:53:30  0.10600  -2.70000E-02
  790  02:41:13.9  00:41:45  0.21400  -0.13600
  794  02:40:40.0  -39:51:20  0.13800  -3.20000E-02
  799  02:44:12.0  49:13:42  0.33600  -8.90000E-02
  810  02:42:33.5  -50:48:01  0.33400  0.22200
  812  02:44:57.6  12:26:45  0.12200  -8.40000E-02
  813  02:44:56.5  10:06:51  0.28400  -3.60000E-02
  818  02:45:06.2  -18:34:21  0.33000  3.80000E-02
  823  02:43:26.6  -66:42:52  0.10800  -7.00000E-02
  824  02:47:54.5  29:14:50  0.14900  -0.12300
  840  02:50:35.1  38:19:07  0.19700  -0.10500
  857  02:52:32.1  -12:46:10  0.39400  -0.17500
  860  02:55:56.9  61:31:16  0.14200  3.20000E-02
  868  02:53:52.9  -49:53:25  0.13500  1.40000E-02
  869  02:56:26.1  18:01:23  0.27600  -0.21300
  878  02:58:05.2  20:40:07  0.23300  -3.10000E-02
