!$Name$$$bin?$$$$$RA$$$$$$Declination$$Period (s)$pdot$$$$$$$Dist (Kpc)$$$Age (yr)$
! note that if column labels are required, their specification must occur on
! the first line of the file.
!
!  ** TEST.DAT **
! an example data file for PONGO
0818-41  20    124.62      -41.084     .54545      0.27000E-16  0.66000      0.32008E+09 
0820+02   9    125.14       2.1484     .86487      0.10390E-15  0.84000      0.13189E+09 
0823+26  16    125.96       26.789     .53066      0.17236E-14  0.71000      0.48780E+07 
0826-34  20    126.58      -34.119     1.8489      0.10000E-14  0.45000      0.29294E+08 
0833-45  20    128.41      -45.003     .89282E-01  0.12435E-12  0.50000       11376.     
0834+06  16    128.61       6.3454     1.2738      0.67992E-14  0.43000      0.29682E+07 
0835-41  20    128.89      -41.412     .75162      0.35460E-14   2.4000      0.33584E+07 
0839-53  20    129.79      -53.364     .72061      0.16510E-14   3.1000      0.69154E+07 
0840-48  20    130.12      -48.676     .64435      0.94970E-14   4.0000      0.10750E+07 
0841+80  20    130.35       80.667     1.6022      0.44200E-15   1.3000      0.57434E+08 
0844-35  20    131.03      -35.377     1.1161      0.15700E-14  0.59000      0.11263E+08 
0853-33  20    133.41      -33.333     1.2675      0.65000E-14  0.59000      0.30897E+07 
0855-61  20    133.98      -61.438     .96251      0.16770E-14   3.6000      0.90936E+07 
0901-63  20    135.38      -63.221     .66031      0.10700E-15   2.8000      0.97776E+08 
0903-42  20    135.78      -42.570     .96517      0.18870E-14   1.7000      0.81040E+07 
0904-74  20    136.12      -74.795     .54955      0.46300E-15   1.9000      0.18806E+08 
0905-51  20    136.42      -51.764     .25356      0.18335E-14  0.86000      0.21911E+07 
0906-17   3    136.58      -17.457     .40163      0.67090E-15  0.52000      0.94848E+07 
0906-49  20    136.73      -49.015     .10675      0.15151E-13   3.2000      0.11164E+06 
0909-71  20    137.34      -71.998     1.3629      0.33300E-15   2.0000      0.64846E+08 
0917+63  20    139.32       63.117     1.5680      0.36081E-14  0.45000      0.68854E+07 
0919+06   3    139.90       6.8533     .43061      0.13725E-13   1.0000      0.49711E+06 
0922-52  20    140.63      -52.830     .74630      0.35477E-13   2.7000      0.33330E+06 
0923-58  20    140.77      -58.019     .73950      0.48300E-14   1.0000      0.24258E+07 
0932-52  20    143.20      -52.601     1.4448      0.46530E-14   1.1000      0.49196E+07 
0940+16   3    145.19       16.752     1.0874      0.90000E-15  0.75000      0.19143E+08 
0940-55  20    145.16      -55.653     .66436      0.22739E-13   4.9000      0.46291E+06 
0941-56  20    145.33      -56.733     .80812      0.39617E-13   4.9000      0.32319E+06 
0942-13   3    145.52      -13.681     .57026      0.46200E-16  0.42000      0.19557E+09 
0943+10  16    145.86       10.096     1.0977      0.35291E-14  0.56000      0.49282E+07 
0950+08  16    147.63       8.1626     .25307      0.22915E-15  0.85000E-01  0.17498E+08 
0950-38  20    147.55      -38.417     1.3738      0.58000E-15   4.0000      0.37529E+08 
0953-52  20    148.42      -52.834     .86212      0.35170E-14   3.5000      0.38838E+07 
0957-47  20    149.38      -47.923     .67009      0.82000E-16   1.3000      0.12947E+09 
0959-54  20    149.97      -54.878     1.4366      0.51665E-13  0.60000E-01  0.44055E+06 
1001-47  20    150.35      -47.541     .30707      0.22074E-13   1.6000      0.22041E+06 
