        mid116       073013          269.9999   -89.4393    54946    44391      
        mid116       073012           90.0000   -88.5607    64634    43205      
        mid112       072013          198.6668   -88.3910    46677    29884      
        mid120       074013          341.3332   -88.3910   107016    75532      
        mid112       072012          133.4607   -87.9588    49240    31314      
        mid120       074012           46.5393   -87.9588   124308    78789      
        mid115       073014          270.0000   -87.4393    51179    46047      
        mid111       072014          236.8019   -86.9984    42719    31872      
        mid119       074014          303.1981   -86.9984   101531    70724      
        mid109       071013          187.0796   -86.9333    49855    36682      
        mid124       075013          352.9203   -86.9333   153298   106931      
        mid109       071012          150.1514   -86.7683    57549    33974      
        mid124       075012           29.8486   -86.7683   170133   114484      
        mid117       073011           90.0000   -86.5607    79479    45998      
        mid113       072011          110.2413   -86.2929    51807    33488      
        mid122       074011           69.7587   -86.2929   146386    85934      
        mid108       071014          215.7799   -85.9556    40160    38681      
        mid123       075014          324.2201   -85.9556   143227    98757      
        mid110       071011          125.4616   -85.5868    58659    34216      
        mid125       075011           54.5384   -85.5868   190393   124864      
        mid105       070013          181.8880   -85.4463    45595    57092      
        mid128       076013          358.1120   -85.4463   131398   101922      
        mid115       073015          270.0000   -85.4393    49198    45999      
        mid105       070012          156.5365   -85.4304    54604    46583      
        mid128       076012           23.4635   -85.4304   147369   114586      
        mid111       072015          248.6603   -85.1597    39205    32433      
        mid119       074015          291.3397   -85.1597    98246    63631      
        mid104       070014          203.3668   -84.6544    35750    60792      
        mid127       076014          336.6332   -84.6544   117292    92004      
        mid106       070011          135.3040   -84.6139    56967    41034      
        mid129       076011           44.6960   -84.6139   166812   127550      
        mid118       073010           90.0000   -84.5607   102523    56145      
        mid108       071015          231.0584   -84.4051    35822    32943      
        mid123       075015          308.9416   -84.4051   138076    87855      
        mid114       072010          101.9616   -84.4039    60734    36838      
        mid122       074010           78.0384   -84.4039   172916    98935      
        mid101       069012          159.2005   -84.0469    44350    54849      
        mid133       077012           20.7995   -84.0469    83678    77970      
        mid110       071010          112.5334   -83.9583    57910    36621      
        mid126       075010           67.4666   -83.9583   213930   137118      
        mid101       069013          178.4060   -83.9549    37778    65638      
        mid132       077013            1.5940   -83.9549    70844    65975      
        mid102       069011          141.3930   -83.4956    47059    49303      
        mid133       077011           38.6070   -83.4956   100571    91364      
        mid112       145016          270.0000   -83.4393    43545    43239      
        mid110       144016          261.8343   -83.3861    39036    39134      
        mid114       146016          278.1657   -83.3861    59420    46310      
        mid104       070015          217.8761   -83.3368    32790    51135      
        mid127       076015          322.1239   -83.3368   108747    82052      
        mid107       070010          121.0238   -83.2827    57868    41352      
        mid130       076010           58.9762   -83.2827   189660   139754      
        mid100       069014          195.2693   -83.2458    31221    70249      
        mid131       077014          344.7307   -83.2458    59122    56020      
        mid109       143016          253.8968   -83.2291    40299    32579      
        mid116       147016          286.1031   -83.2291    87617    54684      
        mid107       142016          246.3757   -82.9754    41309    28118      
        mid118       148016          293.6242   -82.9754   114270    66339      
        mid097       068012          160.1974   -82.6470    35461    54698      
        mid137       078012           19.8026   -82.6470    39992    41614      
        mid105       141016          239.3949   -82.6351    43198    28242      
        mid120       149016          300.6051   -82.6351   128149    75680      
        mid119       073009           90.0000   -82.5607   134966    77453      
        mid096       068013          175.6182   -82.4654    29987    57232      
        mid136       078013            4.3818   -82.4654    34073    35049      
        mid115       072009           97.8940   -82.4575    74697    49318      
        mid123       074009           82.1060   -82.4575   209857   120350      
        mid103       069010          127.4416   -82.4405    51431    48919      
        mid133       077010           52.5584   -82.4405   120847   104835      
        mid137       078011           34.8824   -82.2982    50039    49723      
        mid098       068011          145.1176   -82.2981    38798    55029      
        mid103       140016          233.0112   -82.2199    41060    33460      
        mid122       150016          306.9888   -82.2199   121992    78793      
        mid111       071009          105.2860   -82.1565    53450    43986      
        mid127       075009           74.7140   -82.1565   245811   153717      
        mid100       069015          208.0850   -82.0838    29215    63409      
        mid131       077015          331.9149   -82.0838    52504    48308      
        mid096       068014          189.4023   -81.7884    26840    57460      
        mid135       078014          350.5977   -81.7884    31296    30434      
        mid101       139016          227.2277   -81.7414    37799    41146      
        mid124       151016          312.7723   -81.7414   100822    71631      
        mid108       070009          111.8162   -81.6802    54252    45972      
        mid131       076009           68.1838   -81.6802   221934   154097      
        mid099       068010          132.1243   -81.4837    45157    57834      
        mid138       078010           47.8757   -81.4837    59769    63197      
        mid112       145017          270.0000   -81.4393    41022    41016      
        mid110       144017          263.3448   -81.3960    42399    38939      
        mid114       146017          276.6552   -81.3960    53240    40789      
        mid109       143017          256.8043   -81.2673    47989    34453      
        mid116       147017          283.1957   -81.2673    78762    47490      
        mid093       067012          160.3173   -81.2426    33247    55476      
        mid140       079012           19.6827   -81.2426    25663    29506      
        mid099       138016          222.0117   -81.2103    32635    49637      
        mid127       152016          317.9883   -81.2103    71592    56645      
        mid104       069009          117.3214   -81.0582    53953    53126      
        mid136       077009           62.6786   -81.0582   148438   121100      
        mid107       142017          250.4802   -81.0571    51981    30949      
        mid118       148017          289.5198   -81.0571   103982    58089      
        mid094       067011          147.3464   -81.0568    37545    59554      
        mid140       079011           32.6536   -81.0568    31179    32990      
        mid140       079013            6.8217   -80.9811    23164    26974      
        mid092       067013          173.1783   -80.9810    27722    53821      
        mid105       141017          244.4513   -80.7710    54704    30251      
        mid120       149017          295.5487   -80.7710   116811    67190      
        mid095       068015          200.5782   -80.7239    25468    54208      
        mid135       078015          339.4218   -80.7239    29597    28385      
        mid097       137016          217.3115   -80.6359    30166    54056      
        mid128       153016          322.6885   -80.6359    48970    39352      
        s3south      073008           90.0000   -80.5607   178347   100959      
        mid117       072008           95.4948   -80.4890    99027    67062      
        s3south      074008           84.5052   -80.4890   259365   142097      
        mid095       067010          135.4599   -80.4498    43914    64394      
        mid142       079010           44.5401   -80.4498    35484    41111      
        mid103       140017          238.7696   -80.4162    50694    32890      
        mid122       150017          301.2303   -80.4162   110421    70153      
        mid100       068009          121.8003   -80.3206    51334    61535      
        mid140       078009           58.1997   -80.3206    75807    80618      
        mid092       067014          184.7917   -80.3083    24349    51668      
        mid140       079014          355.2083   -80.3083    23962    26405      
        mid113       071008          100.7766   -80.2773    53566    54094      
        s3south      075008           79.2234   -80.2773   291112   168158      
        mid095       136016          213.0683   -80.0263    26363    53613      
        mid131       154016          326.9317   -80.0263    34735    29689      
        mid101       139017          233.4612   -80.0002    44015    38295      
        mid124       151017          306.5388   -80.0002    89863    62420      
        s3south      070008          105.6681   -79.9352    50672    55489      
        s3south      076008           74.3319   -79.9352   268162   166526      
        mid089       066012          159.9213   -79.8395    38234    58787      
        mid144       080012           20.0787   -79.8395    25947    27344      
        mid089       066011          148.5958   -79.7913    40000    62198      
