sug 1986sug..book.....L
sun63 1992StaUN..63.....R
sun64 1987StaUN..64.....T
sun65 1995StaUN..65.....E
sun66 1997StaUN..66.....B
sun67 2005StaUN..67.....W
sun68 1989StaUN..68.....T
sun69 1993StaUN..69.....P
sun70 1990StaUN..70.....W
sun71 1992StaUN..71.....P
sun72 1991StaUN..72.....C
sun73 1990StaUN..73.....L
sun74 1987StaUN..74.....L
sun75 1990StaUN..75.....L
sun76 1992StaUN..76.....T
sun77 1995StaUN..77.....L
sun78 1997StaUN..78.....W
sun79 1986StaUN..79.....F
sun80 1986StaUN..80.....S
sun81 1986StaUN..81.....R
sun82 1993StaUN..82.....P
sun83 1995StaUN..83.....T
sun84 1989StaUN..84.....W
sun85 1995StaUN..85.....W
sun86 2004StaUN..86.....S
sun87 2000StaUN..87.....W
sun88 1999StaUN..88.....R
sun89 1986StaUN..89.....S
sun90 1995StaUN..90.....R
sun91 1989StaUN..91.....P
sun92 2008StaUN..92.....W
sun93 1995StaUN..93.....M
sun94 1989StaUN..94.....C
sun95 2013StaUN..95.....C
sun96 1986StaUN..96.....C
sun97 1987StaUN..97.....L
sun98 1995StaUN..98.....A
sun99 1991StaUN..99.....B
sun100 1994StaUN.100.....W
sun101 1991StaUN.101.....M
sun102 1993StaUN.102.....C
sun103 1990StaUN.103.....D
sun104 2009StaUN.104.....R
sun105 1991StaUN.105.....W
sun106 1990StaUN.106.....W
sun107 1998StaUN.107.....C
sun108 1991StaUN.108.....C
sun109 2002StaUN.109.....D
sun110 1990StaUN.110.....W
sun111 1993StaUN.111.....T
sun112 1991StaUN.112.....A
sun113 1995StaUN.113.....A
sun114 1999StaUN.114.....C
sun115 2002StaUN.115.....C
sun116 1992StaUN.116.....B
sun117 1993StaUN.117.....B
sun118 1992StaUN.118.....B
sun119 1992StaUN.119.....W
sun120 1994StaUN.120.....W
sun121 2007StaUN.121.....A
sun122 1991StaUN.122.....C
sun124 1995StaUN.124.....W
sun125 1991StaUN.125.....F
sun126 1992StaUN.126.....F
sun127 1991StaUN.127.....O
sun128 1993StaUN.128.....L
sun129 2000StaUN.129.....B
sun130 1995StaUN.130.....T
sun131 1991StaUN.131.....R
sun132 2003StaUN.132.....L
sun134 1992StaUN.134.....K
sun135 1992StaUN.135.....A
sun136 1994StaUN.136.....B
sun137 2008StaUN.137.....H
sun138 1991StaUN.138.....M
sun139 2011StaUN.139.....D
sun140 1995StaUN.140.....M
sun141 1995StaUN.141.....P
sun143 2001StaUN.143.....A
sun144 2001StaUN.144.....C
sun145 1996StaUN.145.....L
sun146 1996StaUN.146.....O
sun147 1992StaUN.147.....B
sun148 1992StaUN.148.....L
sun149 1992StaUN.149.....L
sun150 2012StaUN.150.....B
sun151 1992StaUN.151.....C
sun152 2003StaUN.152.....M
sun153 1992StaUN.153.....L
sun154 1992StaUN.154.....B
sun155 1992StaUN.155.....L
sun159 1993StaUN.159.....M
sun160 2003StaUN.160.....D
sun161 1994StaUN.161.....P
sun162 1993StaUN.162.....D
sun163 1995StaUN.163.....B
sun164 1998StaUN.164.....T
sun165 1995StaUN.165.....B
sun166 1996StaUN.166.....M
sun167 2001StaUN.167.....D
sun168 1998StaUN.168.....M
sun169 1994StaUN.169.....M
sun170 1997StaUN.170.....C
sun171 1996StaUN.171.....A
