*
*                   V M A 2
*
*   Table file for flux standard VMA2 based on data from
*   Oke, J.B., 1974. Astrophys. J. Supp. Ser. 27, 21.
*   Adapted from SPICA .OKE file of the same or similar name.
*
*   These data are directly measured fluxes and should be used according
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "mjy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH =  10
SET .TABLE.LAMBDA_DOUBLE = 11000
*
  8560       42.462
  8640       43.652
  8720       42.073
  8800       44.055
  8880       43.251
  8960       43.652
  9040       41.305
  9120       42.462
  9200       42.855
  9280       40.551
  9360       42.855
  9440       45.290
  9520       44.463
  9600       43.251
  9680       39.446
  9760       44.055
  9840       42.073
  9920       40.551
 10000       41.305
 10080       46.559
 10160       44.874
 10240       41.687
 10320       40.551
 10400       41.305
 10480       44.463
 10560       41.687
 10640       41.687
