*
*                   H Z 4
*
*   Table file for HZ4 flux standard, based on data
*   from Ap.J.Supp. 27,21-35 Oct 1982.  These data represent
*   directly measured fluxes, and should be used accordingly.
*   This file is designed for use with the Figaro routine GSPIKE.
*
SET .Z.UNITS = "uJy"
SET .Z.LABEL = "Flux"
SET .TABLE.BANDWIDTH = 20
SET .TABLE.LAMBDA_DOUBLE = 5700
*
  3210     4965.924
  3230     4698.940
  3250     4655.858
  3270     5597.578
  3290     5105.047
  3310     4965.924
  3330     4965.924
  3350     4830.583
  3370     4875.282
  3390     4786.299
  3410     4613.176
  3430     4830.583
  3450     5105.047
  3470     4920.395
  3490     4613.176
  3510     4655.858
  3530     5011.870
  3550     4698.940
  3570     4405.549
  3590     4786.299
  3610     5058.241
  3630     4786.299
  3650     4528.972
  3670     4613.176
  3690     4613.176
  3710     4365.157
  3730     4207.263
  3750     4487.449
  3770     4365.157
  3790     4325.135
  3810     4246.193
  3830     4285.485
  3850     4528.972
  3870     4285.485
  3890     3732.498
  3910     4920.395
  3930     5152.285
  3950     4698.940
  3970     3837.069
  3990     4965.924
  4010     5649.368
  4030     5807.644
  4050     5546.256
  4070     5152.285
  4090     3767.036
  4110     4168.692
  4130     5058.241
  4150     5701.637
  4170     6426.871
  4190     6486.341
  4210     6426.871
  4230     6668.066
  4250     6546.361
  4270     5861.377
  4290     5105.047
  4310     4365.157
  4330     3311.307
  4350     3698.280
  4370     4446.310
  4390     5597.578
  4410     5970.353
  4430     6546.361
  4450     6546.361
  4470     6668.066
  4490     6918.305
  4510     6668.066
  4530     6606.930
  4550     6982.322
  4570     6982.322
  4590     7046.931
  4610     6546.361
  4630     6668.066
  4650     6729.768
  4670     6367.954
  4690     6309.576
  4710     6668.066
  4730     6426.871
  4750     6137.615
  4770     5861.377
  4790     5445.021
  4810     4965.924
  4830     3981.071
  4850     2964.829
  4870     3664.377
  4890     4446.310
  4910     5105.047
  4930     5105.047
  4950     5546.256
  4970     5807.644
  4990     5649.368
  5010     5445.021
  5030     5701.637
  5050     5597.578
  5070     5915.614
  5090     6081.349
  5110     5754.396
  5130     6137.615
  5150     5807.644
  5170     5649.368
  5190     6251.727
  5210     5970.353
  5230     6025.592
  5250     5915.614
  5270     5701.637
  5290     5970.353
  5310     5546.256
  5330     5495.406
  5350     5649.368
  5370     5701.637
  5390     5970.353
  5410     5152.285
  5430     5546.256
  5450     5597.578
  5470     5495.406
  5490     5345.640
  5510     5199.961
  5530     5649.368
  5550     5445.021
  5570     5395.105
  5590     5345.640
  5610     5495.406
  5630     5105.047
  5650     4965.924
  5670     5152.285
  5690     5395.105
  5700     5199.961
  5740     5058.241
  5780     5152.285
  5820     5011.870
  5860     4786.299
  5900     4965.924
  5940     5011.870
  5980     4742.416
  6020     5058.241
  6060     4655.858
  6100     4742.416
  6140     4830.583
  6180     4613.176
  6220     4570.880
  6260     4786.299
  6300     4613.176
  6340     4487.449
  6380     4487.449
  6420     4207.263
  6460     3981.071
  6500     3698.280
  6540     2857.590
  6580     2728.977
  6620     3597.491
  6660     3981.071
  6700     3944.571
  7060     3837.069
  7100     3837.069
  7140     3732.498
  7180     3630.780
  7220     3732.498
