# ssize snr pt gain qgain maptol numiter
16 3000 10 0.981294 0.985559 0.0447767 42
16 3000 50 0.963648 0.987411 0.047656 84
16 3000 100 0.910267 1.00313 0.134823 200
16 3000 150 0.888724 1.00701 0.376091 200
16 10000 0 0.986252 0.995964 0.0499471 42
16 10000 10 0.983956 0.993605 0.047807 69
16 10000 50 0.892412 1.02087 0.395602 200
16 10000 100 0.900198 0.995095 0.957241 200
16 10000 150 0.930142 0.932864 1.19584 200
20 10 0 0.878562 0.858721 0.0314422 10
20 10 10 0.719264 0.624127 0.0352733 11
20 10 50 0.709719 0.870107 0.0450209 20
20 10 100 0.5242 0.796277 0.0482998 25
20 10 150 0.506559 0.723835 0.0466604 35
20 30 0 0.944244 1.04199 0.0473291 12
20 30 10 0.840199 0.726075 0.0448583 17
20 30 50 0.827804 0.836911 0.0489235 31
20 30 100 0.6613 0.927843 0.0498184 41
20 30 150 0.629235 0.859705 0.0499282 57
20 100 0 0.991973 0.994581 0.0472128 17
20 100 10 0.952163 0.772988 0.0477686 29
20 100 50 0.94454 0.807121 0.0475326 60
20 100 100 0.819096 0.842583 0.0486573 86
20 100 150 0.780227 0.871473 0.0495575 117
20 300 0 0.97642 0.995177 0.046627 26
20 300 10 0.957081 0.884469 0.048581 48
20 300 50 0.922856 0.927687 0.0494471 97
20 300 100 0.880218 0.925812 0.0496911 162
20 300 150 0.83465 0.936506 0.0739082 200
20 1000 0 0.980076 0.990327 0.0491262 38
20 1000 10 0.970813 0.956568 0.0478863 66
20 1000 50 0.943887 0.957309 0.0493039 154
20 1000 100 0.88852 0.971321 0.100817 200
20 1000 150 0.819247 0.992912 0.0510489 200
20 3000 0 0.984926 0.996085 0.0423288 22
20 3000 10 0.976187 0.982091 0.0491938 62
20 3000 50 0.946076 0.980732 0.0685152 200
20 3000 100 0.934102 0.976703 0.281952 200
20 3000 150 0.939963 0.974286 0.518688 200
20 10000 0 0.983871 1.0005 0.048706 67
20 10000 10 0.973151 0.996436 0.0498329 170
20 10000 50 0.920505 1.00921 0.501622 200
20 10000 100 0.936231 0.963643 0.957844 200
20 10000 150 0.956645 0.934666 1.05592 200
24 10 0 0.62098 0.668839 0.0491029 9
24 10 10 0.470763 0.444221 0.0487267 10
24 10 50 0.453919 0.587523 0.0415718 20
24 10 100 0.331378 0.536485 0.0470149 24
24 10 150 0.30876 0.52128 0.0416762 33
24 30 0 0.853004 0.917595 0.0484909 13
24 30 10 0.751354 0.534964 0.0476556 20
24 30 50 0.68407 0.604422 0.048305 37
24 30 100 0.50703 0.717884 0.0481292 49
24 30 150 0.478688 0.642907 0.0495281 67
24 100 0 0.919017 0.947307 0.0441364 21
24 100 10 0.860285 0.67739 0.0479538 37
24 100 50 0.789662 0.769846 0.0486255 74
24 100 100 0.685804 0.736812 0.0496237 106
24 100 150 0.659905 0.722722 0.0494425 145
24 300 0 0.942643 0.974833 0.0489404 37
24 300 10 0.920845 0.875231 0.0488895 62
24 300 50 0.873435 0.877493 0.0490456 133
24 300 100 0.806292 0.879262 0.0600965 200
24 300 150 0.726022 0.872154 0.0829267 200
24 1000 0 0.960041 0.999789 0.0484418 42
24 1000 10 0.951359 0.962389 0.0499883 79
24 1000 50 0.904996 0.954653 0.0506542 200
24 1000 100 0.833038 0.951985 0.0497644 169
24 1000 150 0.797737 0.946817 0.0497894 184
24 3000 0 0.978259 1.00349 0.0492568 37
24 3000 10 0.963163 0.996265 0.049905 113
24 3000 50 0.934005 1.00126 0.141341 200
24 3000 100 0.922565 1.00468 0.325049 200
24 3000 150 0.927218 1.00436 0.530066 200
24 10000 0 0.97668 1.00745 0.0495882 128
24 10000 10 0.963017 1.00488 0.145271 200
24 10000 50 0.945568 1.00595 0.581963 200
24 10000 100 0.963858 0.962192 0.972963 200
24 10000 150 0.97792 0.946017 1.099 200
28 10 0 0.355456 0.309454 0.0337208 9
28 10 10 0.256109 0.261585 0.0403215 10
28 10 50 0.239876 0.388491 0.0430711 18
