QueryResult

# Config entry for original catalog server:
serv_type: catalog
long_name: USNO at ESO
short_name: usno@eso
url: http://archive.eso.org/skycat/servers/usnoa-server?%ra%dec&radius=%r1,%r2&%cond&format=8&sort=mr
symbol: mag {circle {} {} {} {} {}} {{(25-$mag)/3600.} {deg 2000}} : b_mag {plus green {} {} {} {}} {{(25-$b_mag)/3600.} {deg 2000}}
search_cols: mag {Brightest (min)} {Faintest (max)}
sort_cols: mag
copyright: Provided by courtesy of the US Naval Observatory
# End config entry

ID	ra	dec	mag	b_mag	qual	field	gsc	d'	pa
U1275_02195340	03:19:28.843	+41:31:04.19	15.6	17.0	0	00199	-	3.638	276.075
U1275_02201254	03:19:52.301	+41:25:49.12	15.6	16.3	0	00199	-	4.929	170.961
U1275_02196456	03:19:33.458	+41:30:17.60	15.6	16.1	0	00199	-	2.782	261.889
U1275_02202648	03:19:57.991	+41:27:02.48	15.6	17.3	0	00199	-	4.083	153.210
U1275_02196854	03:19:35.086	+41:29:28.03	15.6	16.7	0	00199	-	2.737	243.558
U1275_02200172	03:19:48.046	+41:27:22.82	15.6	17.9	0	00199	-	3.307	180.403
U1275_02200824	03:19:50.628	+41:34:24.20	15.6	16.9	0	00199	-	3.745	7.051
U1275_02205108	03:20:07.788	+41:32:22.42	15.7	17.2	0	00199	-	4.041	65.296
U1275_02194992	03:19:27.509	+41:31:12.14	15.7	16.3	0	00199	-	3.902	277.626
U1275_02194455	03:19:25.390	+41:29:03.80	15.8	16.3	0	00199	-	4.564	249.198
U1275_02200896	03:19:50.880	+41:27:53.10	15.8	17.4	0	00199	-	2.847	169.727
U1275_02196346	03:19:32.926	+41:26:43.08	15.8	17.2	0	00199	-	4.889	215.754
U1275_02197824	03:19:38.933	+41:29:07.55	15.8	16.6	0	00199	-	2.329	227.948
U1275_02196561	03:19:33.914	+41:29:24.76	15.8	17.8	0	00199	-	2.958	244.508
U1275_02196714	03:19:34.565	+41:26:31.49	15.8	16.5	0	00199	-	4.880	211.495
U1275_02201914	03:19:54.998	+41:30:45.25	15.8	16.3	0	00199	-	1.280	86.975
U1275_02205880	03:20:10.807	+41:29:21.91	15.8	16.9	0	00199	-	4.440	107.283
U1275_02197412	03:19:37.207	+41:26:35.09	15.8	17.3	0	00199	-	4.587	206.608
U1275_02204856	03:20:06.898	+41:30:30.06	15.9	17.5	0	00199	-	3.511	93.005
U1275_02201760	03:19:54.367	+41:33:59.62	15.9	17.0	0	00199	-	3.504	19.313
U1275_02205198	03:20:08.138	+41:27:35.06	16.0	16.9	0	00199	-	4.859	129.650
U1275_02204963	03:20:07.334	+41:32:13.16	16.0	18.5	0	00199	-	3.901	66.837
U1275_02203795	03:20:02.546	+41:29:32.86	16.0	16.7	0	00199	-	2.923	112.916
U1275_02201063	03:19:51.511	+41:26:23.21	16.0	16.8	0	00199	-	4.345	171.714
U1275_02196502	03:19:33.643	+41:33:12.74	16.0	17.5	0	00199	-	3.711	312.916
U1275_02203105	03:19:59.789	+41:34:33.85	16.1	17.1	0	00199	-	4.445	29.262
U1275_02201593	03:19:53.654	+41:30:52.45	16.1	16.8	0	00199	-	1.044	79.643
U1275_02201601	03:19:53.698	+41:27:34.96	16.1	16.9	0	00199	-	3.272	161.550
U1275_02200734	03:19:50.290	+41:32:55.18	16.1	16.4	0	00199	-	2.268	10.076
U1275_02204840	03:20:06.794	+41:33:39.24	16.1	17.5	0	00199	-	4.577	49.562
U1275_02199872	03:19:46.802	+41:33:13.00	16.2	16.9	0	00199	-	2.543	354.229
U1275_02196273	03:19:32.542	+41:29:05.71	16.2	16.9	0	00199	-	3.331	241.484
U1275_02204571	03:20:05.760	+41:28:27.77	16.3	17.6	0	00199	-	3.974	123.998
U1275_02205798	03:20:10.442	+41:29:28.07	16.4	17.1	0	00199	-	4.345	106.259
U1275_02201604	03:19:53.705	+41:35:14.89	16.4	17.3	0	00199	-	4.678	12.782
U1275_02197374	03:19:37.044	+41:27:33.55	16.4	17.3	0	00199	-	3.758	213.689
U1275_02201789	03:19:54.485	+41:27:37.76	16.4	17.0	0	00199	-	3.278	158.844
U1275_02199796	03:19:46.572	+41:25:47.03	16.4	18.7	0	00199	-	4.912	183.495
U1275_02205971	03:20:11.222	+41:31:49.91	16.5	17.1	0	00199	-	4.464	75.109
U1275_02199874	03:19:46.814	+41:31:45.16	16.5	17.7	0	00199	-	1.096	346.599
U1275_02206273	03:20:12.480	+41:31:53.26	16.5	18.0	0	00199	-	4.706	75.179
U1275_02199803	03:19:46.598	+41:27:57.31	16.5	17.5	0	00199	-	2.747	186.156
U1275_02199775	03:19:46.517	+41:35:29.11	16.5	18.2	0	00199	-	4.809	356.314
U1275_02201993	03:19:55.320	+41:30:13.79	16.6	17.1	0	00199	-	1.415	108.846
U1275_02198824	03:19:42.797	+41:28:20.71	16.6	17.0	0	00199	-	2.549	203.261
U1275_02202843	03:19:58.697	+41:33:42.98	16.6	17.1	0	00199	-	3.614	33.018
U1275_02196128	03:19:31.961	+41:33:10.01	16.6	17.0	0	00199	-	3.918	309.291
U1275_02196189	03:19:32.182	+41:27:28.40	16.6	18.0	0	00199	-	4.392	223.001
U1275_02202139	03:19:55.930	+41:27:07.92	16.6	17.4	0	00199	-	3.840	157.754
U1275_02195778	03:19:30.550	+41:27:25.38	16.7	17.3	0	00199	-	4.641	225.339
U1275_02200731	03:19:50.290	+41:34:23.16	16.7	17.0	0	00199	-	3.720	6.118
U1275_02197766	03:19:38.681	+41:32:13.42	16.7	17.5	0	00199	-	2.349	310.887
U1275_02195638	03:19:29.978	+41:29:01.18	16.7	18.2	0	00199	-	3.792	243.946
U1275_02205625	03:20:09.758	+41:31:05.48	16.8	18.9	0	00199	-	4.062	84.248
U1275_02197195	03:19:36.384	+41:33:02.81	16.8	18.3	0	00199	-	3.230	316.957
U1275_02198070	03:19:39.958	+41:33:50.72	16.8	17.7	0	00199	-	3.513	334.066
U1275_02196388	03:19:33.106	+41:27:56.45	16.8	18.4	0	00199	-	3.937	225.796
U1275_02197955	03:19:39.434	+41:29:41.03	16.8	17.1	0	00199	-	1.919	238.503
U1275_02200429	03:19:49.092	+41:34:17.65	16.8	18.2	0	00199	-	3.611	2.739
U1275_02201149	03:19:51.871	+41:27:52.02	16.9	17.1	0	00199	-	2.904	166.187
U1275_02204868	03:20:06.926	+41:28:45.66	16.9	18.9	0	00199	-	4.006	118.710
U1275_02198147	03:19:40.253	+41:35:03.77	16.9	18.1	0	00199	-	4.620	341.313
U1275_02205447	03:20:09.053	+41:33:12.67	16.9	17.5	0	00199	-	4.653	57.107
U1275_02205036	03:20:07.553	+41:32:37.28	16.9	17.2	0	00199	-	4.111	61.899
U1275_02198413	03:19:41.203	+41:33:40.36	17.0	17.7	0	00199	-	3.258	336.424
U1275_02202761	03:19:58.402	+41:32:52.37	17.0	18.3	0	00199	-	2.906	41.199
U1275_02201528	03:19:53.376	+41:34:34.97	17.0	19.0	0	00199	-	4.016	14.031
U1275_02200385	03:19:48.926	+41:35:00.56	17.0	18.0	0	00199	-	4.325	1.875
U1275_02194763	03:19:26.530	+41:31:13.98	17.0	19.2	0	00199	-	4.088	277.713
U1275_02206301	03:20:12.624	+41:31:43.18	17.0	17.4	0	00199	-	4.693	77.251
U1275_02205050	03:20:07.608	+41:28:03.86	17.1	17.7	0	00199	-	4.486	125.741
U1275_02201696	03:19:54.134	+41:35:08.30	17.1	18.5	0	00199	-	4.589	14.064
U1275_02198691	03:19:42.269	+41:32:55.72	17.1	17.7	0	00199	-	2.499	333.787
U1275_02197554	03:19:37.730	+41:33:27.68	17.1	19.1	0	00199	-	3.394	324.865
U1275_02193881	03:19:23.035	+41:29:27.96	17.2	18.3	0	00199	-	4.862	255.495
U1275_02204247	03:20:04.354	+41:30:58.25	17.2	18.3	0	00199	-	3.043	84.625
U1275_02197990	03:19:39.586	+41:31:03.86	17.2	18.3	0	00199	-	1.651	283.244
U1275_02204167	03:20:04.042	+41:28:50.12	17.2	18.6	0	00199	-	3.502	121.894
U1275_02205559	03:20:09.528	+41:32:11.04	17.2	18.2	0	00199	-	4.269	69.439
U1275_02206378	03:20:12.972	+41:30:08.06	17.3	18.2	0	00199	-	4.676	96.751
U1275_02198487	03:19:41.453	+41:26:03.80	17.3	18.2	0	00199	-	4.791	195.234
U1275_02194572	03:19:25.814	+41:28:23.38	17.3	17.5	0	00199	-	4.775	241.275
U1275_02198057	03:19:39.893	+41:32:45.28	17.3	18.0	0	00199	-	2.584	323.174
U1275_02206225	03:20:12.281	+41:30:12.82	17.3	18.3	0	00199	-	4.539	95.953
U1275_02202941	03:19:59.105	+41:28:32.88	17.4	19.1	0	00199	-	2.961	136.231
U1275_02197386	03:19:37.087	+41:33:39.42	17.4	18.6	0	00199	-	3.623	325.092
U1275_02198024	03:19:39.758	+41:31:29.21	17.4	18.0	0	00199	-	1.766	296.944
U1275_02199117	03:19:43.999	+41:28:20.21	17.4	18.0	0	00199	-	2.476	198.390
U1275_02200505	03:19:49.397	+41:33:08.82	17.5	19.1	0	00199	-	2.471	5.329
U1275_02204522	03:20:05.537	+41:30:52.27	17.5	18.2	0	00199	-	3.256	86.731
U1275_02197959	03:19:39.451	+41:31:35.58	17.6	18.4	0	00199	-	1.867	299.060
U1275_02197307	03:19:36.782	+41:32:45.89	17.6	18.8	0	00199	-	2.977	314.288
U1275_02204859	03:20:06.902	+41:29:50.14	17.6	19.4	0	00199	-	3.609	103.611
U1275_02199665	03:19:46.070	+41:32:08.77	17.6	18.0	0	00199	-	1.511	344.938
U1275_02200362	03:19:48.840	+41:35:00.85	17.6	18.5	0	00199	-	4.329	1.658
U1275_02196647	03:19:34.289	+41:32:53.12	17.6	19.3	0	00199	-	3.404	310.262
U1275_02194801	03:19:26.714	+41:28:49.04	17.6	18.4	0	00199	-	4.431	245.077
U1275_02198493	03:19:41.474	+41:32:10.79	17.6	18.5	0	00199	-	1.949	319.998
U1275_02205307	03:20:08.580	+41:31:12.54	17.6	18.9	0	00199	-	3.856	82.189
U1275_02200880	03:19:50.808	+41:32:24.29	17.7	18.0	0	00199	-	1.788	16.031
U1275_02202489	03:19:57.367	+41:32:53.05	17.7	19.5	0	00199	-	2.791	38.061
U1275_02201440	03:19:53.047	+41:33:49.68	17.8	18.3	0	00199	-	3.271	16.196
U1275_02196051	03:19:31.661	+41:31:05.38	17.8	18.5	0	00199	-	3.117	277.452
U1275_02205558	03:20:09.526	+41:33:11.63	17.8	18.8	0	00199	-	4.718	57.870
U1275_02206370	03:20:12.934	+41:29:59.57	17.8	18.9	0	00199	-	4.688	98.481
U1275_02194811	03:19:26.750	+41:29:06.36	17.8	18.1	0	00199	-	4.311	248.518
U1275_02206401	03:20:13.058	+41:30:57.10	17.8	18.7	0	00199	-	4.667	86.708
U1275_02203693	03:20:02.102	+41:29:55.68	17.8	18.8	0	00199	-	2.717	106.193
U1275_02204830	03:20:06.732	+41:33:26.42	17.8	18.9	0	00199	-	4.433	51.570
U1275_02205073	03:20:07.685	+41:33:05.62	17.8	18.6	0	00199	-	4.374	56.583
U1275_02199887	03:19:46.867	+41:29:29.69	17.8	18.6	0	00199	-	1.217	191.579
U1275_02202763	03:19:58.404	+41:28:01.34	17.8	18.7	0	00199	-	3.282	144.252
U1275_02200750	03:19:50.347	+41:29:09.46	17.8	19.5	0	00199	-	1.583	165.079
U1275_02197362	03:19:36.998	+41:34:43.00	17.9	18.3	0	00199	-	4.539	332.600
U1275_02201899	03:19:54.946	+41:26:03.62	17.9	18.1	0	00199	-	4.797	164.649
U1275_02198534	03:19:41.650	+41:29:16.15	17.9	18.0	0	00199	-	1.871	220.739
U1275_02199976	03:19:47.184	+41:29:29.54	18.0	18.1	0	00199	-	1.209	188.787
U1275_02197289	03:19:36.730	+41:30:27.32	18.0	18.7	0	00199	-	2.154	263.851
