       1     13.934     3.288      2556.      0.237     
       2    134.540     2.651      4920.      0.292     
       3     58.693     9.092      3924.      0.227     
       4     39.359    10.288       198.       0.157     
       5     17.080    25.503      4256.      0.074    
       6     88.729    26.472      5164.      0.135     
       7    121.551    26.437      1560.      0.136     
       8    104.010    29.182       686.      0.160    
       9     68.006    43.804     15721.     0.119    
      10     71.541    36.498      3389.      0.056    
      11      6.631    53.856      2164.      0.372     
      12    100.221    55.600      1318.      0.051     
      13     64.973    61.212      3344.      0.334     
      14     44.970    62.177      1610.      0.084     
      15    118.210    65.056      5030.      0.053    
      16     15.580    62.957       376.      0.178     
      17     20.507    72.986      9354.     0.023    
      18    133.544    74.155      1176.      0.051    
      19     58.176    83.140     20967.     0.037     
      20     31.250    88.800      1692.      0.192    
      21     30.900    99.900       303.      0.419     
      22     43.541   105.138     38377.     0.154    
      23     32.500   108.750       288.      0.326      
      24     41.167   115.500       230.       0.380      
      25     50.500   118.071       382.      0.415      
      26     59.909   122.067      4140.      0.143    
      27     39.711    98.419     12807.     0.252    
      28    128.873    79.331       166.       0.274    
      29     41.210    79.887       124.       0.505     
      30     76.958    65.565      1546.      0.084    
      31     88.162    86.403     16325.     0.240    
      32     74.855    89.867      4961.      0.077    
      33    108.892   102.278     73808.     0.245    
      34     90.823   111.761      6328.      0.329    
      35     79.557    76.900      8203.     0.248      
      36    107.500   114.750        74.       0.326      
      37     92.033   115.233       611.      0.358     
      38    118.359   112.019      5811.      0.097    
      39     70.222    85.593       108.       0.613     
      40     73.922   104.011        90.       0.084    
      41     80.852   116.087      1848.      0.170    
      42     95.051   125.274       646.      0.245      
      43     78.367   131.295       166.       0.120     
      44    119.008   140.208      4815.      0.073     
      45    124.750   138.500       593.      0.326      
      46    134.811   138.992      1984.      0.120    
      47     85.942   146.691     17638.     0.038    
      48     66.830   145.554      2082.      0.226    
      49    114.625   160.380     11670.     0.137     
      50     37.020   161.046      1890.      0.074    
      51    136.650   161.741       440.      0.097    
# $Id$
