Name	Status	In CVS	Contact (blank if owner in component.xml)	Copyright	Comments		
	
	
	
	
	Name: Package name.  Where a package is in CVS, this is its `component' name						
	Status: S=supported, U=unsupported, X=to be reassigned, J=supported by JAC							
	CVS status: yes=in CVS; obsolete=in the obsolete tree; thirdparty=in the thirdparty tree; java=this is a java package name, rather than a component name									
	Maintainer: A contact name.  Components which are in CVS should have a <role>owner</role> element in their component.xml								
	    indicating the owner/maintainer, and no entry in this column				
	Copyright: the copyright owner(s).  Where this is CLRC, the licence will be GPL						
	Comments: anything else?				
	
$Id$				
