## software,command,www_sw,
TEX ,DVICAN ,y,
TEX ,DVIPS ,y,
TEX ,DVITOVDU ,y,
GENERIC ,DCV ,y,
DIPSO ,DIAGRAM ,y,
SX ,DX ,y,
EMACS ,EDT ,y,
MERS ,ERR ,y,
EMACS ,EVE ,y,
HTX ,FINDME ,y,
CNF ,F77 ,y,
SPT ,FORCONV ,y,
DIPSO ,GRAFX ,y,
ASTERIX ,HSE ,y,
TEX ,LATEX ,y,
TEX ,METAFONT ,y,
TEX ,MNRAS ,y,
ADAM ,MSP ,y,
SPAG ,PLUSFORT ,y,
FIO ,RIO ,y,
SKYCAL ,SKYCALC ,y,
SKYCAL ,SKYCALENDAR ,y,
TEX ,XDVI ,y,
XANADU ,XIMAGE ,y,
XANADU ,XRONOS ,y,
XANADU ,XSPEC ,y,
TEX ,LATEX2E ,y,
HTX ,SHOWME ,y,
