## status,descrip,
!,under review ,
#,port in progress ,
%,Available for Unix, not distributed in USSC ,
*,Available in USSC ,
+,port intended ,
-,not being ported ,
=,no port planned / no current plans ,
?,no information available ,
D,Deleted ,
R,Renamed ,
